book_name,tokenized
Grit,173 describes what creates outstanding achievements based on science interviews with high achievers from various fields and the personal history of success of the author angela duckworth uncovering that achievement isnt reserved for the talented only but for those with passion and perseverance science
Made To Stick,174 examines advertising campaigns urban myths and compelling stories to determine the six traits that make ideas stick in our brains so you dont just know why you remember some things better than others but can also spread your own ideas more easily among the right people science
The Botany Of Desire,175 describes how contrary to popular belief we might not be using plants as much as plants use us by getting humans to ensure their survival thanks to appealing to our desires for beauty sweetness intoxication and control science
The Magic of Math,176 shows you not only the power but also the beauty of mathematics unlike youve ever seen it in school and with practical realworld applications science
The Genius Of Birds,177 shines a new light on a genuinely underrated kind of vertebrate by explaining birds capacities to be social intelligently solve challenges learn languages be artistic and navigate the planet science
The Evolution Of Everything,178 compares creationist to evolutionist thinking showing how the process of evolution we know from biology underlies and permeates the entire world including society morality religion culture economics money innovation and even the internet science
The Singularity Is Near,179 outlines the future of technology by describing how change keeps accelerating what computers will look like and be made of why biology and technology will become indistinguishable and how we cant possibly predict whatll happen after 2045 science
The Selfish Gene,180 explains the process of evolution in biology using genes as its basic unit showing how they manifest in the form of organisms what they do to ensure their own survival how they program our brains which strategies have worked best throughout history and what makes humans so special in this context science
Elon Musk,181 is the first official biography of the creator of solarcity spacex and tesla based on over 30 hours of conversation time between author ashlee vance science
Einstein: His Life And Universe,182 takes a close look at the life of albert einstein beginning in how his childhood shaped him what his biggest discoveries and personal struggles were and how his focus changed in later years without his genius ever fading until his very last moment science
Smarter,183 is one slow learner turned a students experimental account of improving his intelligence by 16 through various tests lessons and exercises and explains how you can increase your intelligence in scientifically proven ways science
Hackers and Painters,184 is a collection of essays by y combinator founder paul graham about what makes a good computer programmer and how you can code the future if you are one making a fortune in the process science
Everything Is Obvious,185 shows you that common sense isnt as reliable as you think it is because it often fails us in helping to make predictions and how you can change the way you or your company make decisions with more scientific statistically grounded methods science
Oxygen,186 helps you understand the biology of our evolution by taking a close look at the molecule that can make and break all life and how its shaped the rise of animals plants and humans as well as why it might be the key to ending aging science
Predictably Irrational,187 explains the hidden forces that really drive how we make decisions which are far less rational than we think but can help us stay on top of our finances interact better with others and live happier lives once we know about them science
The Talent Code,188 cracks open the myth of talent and breaks it down from a neurological standpoint into three crucial parts which anyone can pull together to become a worldclass performer artist or athlete and form something they used to believe was not even within their own hands science
Abundance,189 shows you the key technological trends being developed today to give you a glimpse of a future thats a lot brighter than you think and help you embrace the optimism we need to make it happen science
Why We Love,190 delivers a scientific explanation for love shows you how it developed historically and evolutionarily tells you what were all attracted to and where we differ and of course gives you actionable advice to deal with both the exciting successful romance in your life as well as its sometimes inevitable fallout science
Freakonomics,191 helps you make better decisions by showing you how your life is dominated by incentives how to close information asymmetries between you and the experts that exploit you and how to really tell the difference between causation and correlation science
The Blue Zones,192 gives you advice on how to live to be 100 years and older by looking at five spots across the planet where people live the longest and drawing lessons about what they eat drink how they exercise and which habits most shape their lives science
The China Study,193 examines the effect of animal protein intake on cancer risk and suggests improving your health by focusing on a plantbased diet science
Drive,194 explores what has motivated humans throughout history and explains how we shifted from mere survival to the carrot and stick approach thats still practiced today and why its outdated science
The Happiness Project,195 will show you how to change your life without actually changing your life thanks to the findings of modern science ancient history and popular culture about happiness which the author tested for a year and now shares with you science
Immunity,196 is an introductory guide to how your immune system works why its a doubleedged sword and which laws govern its existence science
Outliers,197 explains why the selfmade man is a myth and what truly lies behind the success of the best people in their field which is often a series of lucky events rare opportunities and other external factors which are out of our control science
Your Brain At Work,198 helps you overcome the daily challenges that take away your brain power like constant email and interruption madness high levels of stress lack of control and high expectations by showing you what goes on inside your head and giving you new approaches to control it better science
